"","trending_date","title","channel_title","category_id","publish_time","tags","views","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","video_error_or_removed"
"441","18.10.03","A Friendly Arctic Fox Greets Explorers | National Geographic","National Geographic",15,"2018-03-03T00:00:01.000Z","national geographic|nat geo|natgeo|animals|wildlife|science|explore|discover|survival|nature|documentary|Canada|Arctic Fox|Explorers|PLivjPDlt6ApRfQqtRw7JkGCLvezGeMBB2|PLivjPDlt6ApRiBHpsyXWG22G8RPNZ6jlb|PLivjPDlt6ApS5FeUq8c-I7WWPVx3W0blc|Friendly Arctic Fox Greets Explorers|Fox Greets Explorers|frozen landscape|Canadian Arctic|human visitor|Canadian|Arctic|curious|Fox Greets|human|frozen|landscape|very curious about one human visitor",535879,12384,142,872,"https://i.ytimg.com/vi/C7mxTEskjQg/default.jpg","False","False","False"
"442","18.10.03","Made in Miami (Artist Spotlight Story) - Camila Cabello","Camila Cabello",10,"2018-02-27T16:00:06.000Z","camila cabello|camila|youtube music|documentary|music doc|camilla|cabello|havana|never be the same|music video|doc|camila doc|camila vlog|vlogger",1390899,138904,1486,10429,"https://i.ytimg.com/vi/73_OWzBr8Fo/default.jpg","False","False","False"
"443","18.11.03","Jalen Rose on LeBron James: He's actually gotten better at basketball | First Take | ESPN","ESPN",17,"2018-03-08T16:00:13.000Z","espn|espn live|lebron|james|lebron james|lebron james interview|jalen rose|first take|jalen rose nba|jalen rose first take|jalen rose cavs|lebron james postgame|lebron james first take|stephen a smith|stephen a. smith|stephen a|stephen a.|first take espn|espn first take|first take daily|first take today",386234,2780,196,1238,"https://i.ytimg.com/vi/2A4ZlxAk8dQ/default.jpg","False","False","False"
"444","18.11.03","Cut for Time: Star Warriors - SNL","Saturday Night Live",24,"2018-03-04T07:18:07.000Z","SNL|Saturday Night Live|SNL Season 43|Episode 1739|Charles Barkley|J.J. Abrams|Alex Moffat|Mikey Day|Kate McKinnon|Pete Davidson|Kenan Thompson|Star Wars|Mos Eisley|s43|s43e14|episode 14|live|new york|comedy|sketch|funny|hilarious|late night|host|music|guest|laugh|impersonation|actor|improv|musician|charles barkley|basketball|NBA|Philadelphia 76ers|Phoenix Suns|Houston Rockets|Migos|Quavo|Offset|Takeoff|bad and boujee|stir fry",1708199,20569,1623,1493,"https://i.ytimg.com/vi/kFSm6gany_Q/default.jpg","False","False","False"
"445","18.11.03","A Friendly Arctic Fox Greets Explorers | National Geographic","National Geographic",15,"2018-03-03T00:00:01.000Z","national geographic|nat geo|natgeo|animals|wildlife|science|explore|discover|survival|nature|documentary|Canada|Arctic Fox|Explorers|PLivjPDlt6ApRfQqtRw7JkGCLvezGeMBB2|PLivjPDlt6ApRiBHpsyXWG22G8RPNZ6jlb|PLivjPDlt6ApS5FeUq8c-I7WWPVx3W0blc|Friendly Arctic Fox Greets Explorers|Fox Greets Explorers|frozen landscape|Canadian Arctic|human visitor|Canadian|Arctic|curious|Fox Greets|human|frozen|landscape|very curious about one human visitor",597638,13446,151,927,"https://i.ytimg.com/vi/C7mxTEskjQg/default.jpg","False","False","False"
"446","18.11.03","Made in Miami (Artist Spotlight Story) - Camila Cabello","Camila Cabello",10,"2018-02-27T16:00:06.000Z","camila cabello|camila|youtube music|documentary|music doc|camilla|cabello|havana|never be the same|music video|doc|camila doc|camila vlog|vlogger",1413613,139658,1510,10443,"https://i.ytimg.com/vi/73_OWzBr8Fo/default.jpg","False","False","False"
"447","18.12.03","Black Panther New Scene - SNL","Saturday Night Live",24,"2018-03-11T07:30:13.000Z","SNL|Saturday Night Live|SNL Season 43|Episode 1740|Sterling K Brown|Black Panther|Chris Redd|Leslie Jones|Kenan Thompson|T'Challa|Djalia|s43|s43e15|episode 15|live|new york|comedy|sketch|funny|hilarious|late night|host|music|guest|laugh|impersonation|actor|improv|musician|Sterling K. Brown|The Predator|This is Us|People vs. OJ|James Bay|wild love|let it go|scars|hold back the river|chaos and the calm",1611772,28809,3084,2844,"https://i.ytimg.com/vi/8uBP6UL-jEU/default.jpg","False","False","False"
"448","18.12.03","LeBron James teases what his dunk contest might look like during pregame warmups | ESPN","ESPN",17,"2018-03-10T07:05:22.000Z","espn|espn live|lebron|james|teases|what|his|dunk|contest|might|look|like|during|pregame|warmups|lebron james|cavs vs clippers|cavaliers vs clippers|lebron james dunks|nba on espn|espn nba",335691,1841,1239,713,"https://i.ytimg.com/vi/PKf29H2z81w/default.jpg","False","False","False"
"449","18.12.03","A Friendly Arctic Fox Greets Explorers | National Geographic","National Geographic",15,"2018-03-03T00:00:01.000Z","national geographic|nat geo|natgeo|animals|wildlife|science|explore|discover|survival|nature|documentary|Canada|Arctic Fox|Explorers|PLivjPDlt6ApRfQqtRw7JkGCLvezGeMBB2|PLivjPDlt6ApRiBHpsyXWG22G8RPNZ6jlb|PLivjPDlt6ApS5FeUq8c-I7WWPVx3W0blc|Friendly Arctic Fox Greets Explorers|Fox Greets Explorers|frozen landscape|Canadian Arctic|human visitor|Canadian|Arctic|curious|Fox Greets|human|frozen|landscape|very curious about one human visitor",648022,14160,161,976,"https://i.ytimg.com/vi/C7mxTEskjQg/default.jpg","False","False","False"
"450","18.12.03","Made in Miami (Artist Spotlight Story) - Camila Cabello","Camila Cabello",10,"2018-02-27T16:00:06.000Z","camila cabello|camila|youtube music|documentary|music doc|camilla|cabello|havana|never be the same|music video|doc|camila doc|camila vlog|vlogger",1432969,140312,1523,10472,"https://i.ytimg.com/vi/73_OWzBr8Fo/default.jpg","False","False","False"
